Data from Matlab    Data from Simulation    Results
0000000078F786C1    0000000078F786C1        TRUE      
FFFFFFFFC9726980    FFFFFFFFC9726980        TRUE      
0000000055FDEA3D    0000000055FDEA3D        TRUE      
000000006560BF56    000000006560BF56        TRUE      
000000005FC9D6E0    000000005FC9D6E0        TRUE      
00000000B6BB970C    00000000B6BB970C        TRUE      
00000001314C9D76    00000001314C9D76        TRUE      
FFFFFFFFA805016D    FFFFFFFFA805016D        TRUE      
000000009514DF34    000000009514DF34        TRUE      
FFFFFFFF97510BE4    FFFFFFFF97510BE4        TRUE      
FFFFFFFFD0B7501D    FFFFFFFFD0B7501D        TRUE      
00000000D1A59226    00000000D1A59226        TRUE      
000000003F9674A3    000000003F9674A3        TRUE      
0000000051BCD941    0000000051BCD941        TRUE      
FFFFFFFFB3A498BA    FFFFFFFFB3A498BA        TRUE      
00000000AFB60EDD    00000000AFB60EDD        TRUE      
FFFFFFFF612E5BB6    FFFFFFFF612E5BB6        TRUE      
FFFFFFFF205204A0    FFFFFFFF205204A0        TRUE      
0000000089DA529A    0000000089DA529A        TRUE      
000000003D3D0920    000000003D3D0920        TRUE      
FFFFFFFF8B9B6159    FFFFFFFF8B9B6159        TRUE      
FFFFFFFF64D496EC    FFFFFFFF64D496EC        TRUE      
FFFFFFFFAFD72430    FFFFFFFFAFD72430        TRUE      
FFFFFFFFA7D1622C    FFFFFFFFA7D1622C        TRUE      
00000000321DCF39    00000000321DCF39        TRUE      
FFFFFFFF519E3D69    FFFFFFFF519E3D69        TRUE      
000000000FFF6833    000000000FFF6833        TRUE      
0000000078E5B75F    0000000078E5B75F        TRUE      
FFFFFFFF98D84464    FFFFFFFF98D84464        TRUE      
FFFFFFFFDF20EC62    FFFFFFFFDF20EC62        TRUE      
FFFFFFFFCE69787A    FFFFFFFFCE69787A        TRUE      
000000004242D415    000000004242D415        TRUE      
00000000796EF4D9    00000000796EF4D9        TRUE      
000000006CD655AE    000000006CD655AE        TRUE      
FFFFFFFF96BA7E63    FFFFFFFF96BA7E63        TRUE      
FFFFFFFFF84D4856    FFFFFFFFF84D4856        TRUE      
FFFFFFFFB2FDC128    FFFFFFFFB2FDC128        TRUE      
000000008055B6AC    000000008055B6AC        TRUE      
000000003183A076    000000003183A076        TRUE      
